League,Home,Away,INC,Round,Date,Time,H_Score,A_Score,HT_H_Score,HT_A_Score,WIN,H_BET,X_BET,A_BET,WIN_BET,OVER_2.5,OVER_3.5,H_15,A_15,H_45_50,A_45_50,H_90,A_90,H_Missing_Players,A_Missing_Players,Missing_Players,H_Ball_Possession,A_Ball_Possession,H_Goal_Attempts,A_Goal_Attempts,H_Shots_on_Goal,A_Shots_on_Goal,H_Attacks,A_Attacks,H_Dangerous_Attacks,A_Dangerous_Attacks,H_Shots_off_Goal,A_Shots_off_Goal,H_Blocked_Shots,A_Blocked_Shots,H_Free_Kicks,A_Free_Kicks,H_Corner_Kicks,A_Corner_Kicks,H_Offsides,A_Offsides,H_Throw_in,A_Throw_in,H_Goalkeeper_Saves,A_Goalkeeper_Saves,H_Fouls,A_Fouls,H_Yellow_Cards,A_Yellow_Cards,Game Link
eredivisie,Sittard,Utrecht,"['21' Goal_Away - Mahi M.(Timber Q.)', '23' Goal_Home - Cox G.', '33' Yellow_Home - Cox G.(Nadmierna ostrość)', '45' Yellow_Away - van de Streek S.(Podcięcie)', '50' Goal_Away - van de Streek S.', '70' Yellow_Away - Maher A.(Nadmierna ostrość)', '77' Goal_Home - Flemming Z.(Cox G.)', '84' Yellow_Away - Janssen W.(Nadmierna ostrość)']",17,18.12.2021,16:30,2.0,2.0,1.0,1.0,Draw,5.2,4.2,1.62,4.2,True,True,False,False,False,True,False,False,0.0,4.0,-4.0,49%,51%,8.0,16.0,3.0,6.0,86.0,124.0,32.0,63.0,3.0,6.0,2.0,4.0,13.0,8.0,1.0,7.0,0.0,1.0,18.0,15.0,4.0,1.0,9.0,13.0,1.0,3.0,https://www.flashscore.com/match/lbWtdIcm/#/match-summary/match-summary
serie-a,Lazio,Salernitana,"['09' Yellow_Away - Gyomber N.(Podcięcie)', '11' Yellow_Home - Cataldi D.(Przytrzymywanie)', '31' Goal_Home - Immobile C.(Pedro)', '36' Goal_Home - Pedro', '55' Yellow_Away - Obi J.(Podcięcie)', '69' Goal_Home - Alberto L.(Anderson F.)']",12,07.11.2021,18:00,3.0,0.0,2.0,0.0,Home,1.32,5.7,9.2,1.32,True,False,False,False,False,False,False,False,2.0,4.0,-2.0,61%,39%,16.0,5.0,5.0,0.0,115.0,98.0,53.0,36.0,6.0,5.0,5.0,0.0,22.0,11.0,5.0,1.0,1.0,2.0,,,0.0,2.0,7.0,14.0,1.0,2.0,https://www.flashscore.com/match/ID8oQIIQ/#/match-summary/match-summary
jupiler-league,Kortrijk,Charleroi,"['43' Yellow_Away - Tchatchoua J.', '45' Goal_Home - Penalty Selemani F.(Penalty )', '46' Yellow_Away - Knezevic S.', '64' Goal_Away - Nicholson S.(Morioka R.)', '71' Yellow_Away - Andreou S.', '73' Goal_Home - Alioui R.', '90+1' Yellow_Home - Mbayo D.', '90+2' Yellow_Away - Zedadka K.', '90+4' Yellow_Home - D', '90+5' Goal_Away - Gholizadeh A.(Nicholson S.)']",10,02.10.2021,16:15,2.0,2.0,2.0,0.0,Draw,2.77,3.6,2.48,3.6,True,True,False,False,True,False,False,True,4.0,2.0,2.0,45%,55%,24.0,21.0,9.0,11.0,100.0,118.0,39.0,50.0,9.0,4.0,6.0,6.0,,,5.0,6.0,0.0,0.0,,,9.0,7.0,14.0,8.0,2.0,4.0,https://www.flashscore.com/match/Q3RP6DSl/#/match-summary/match-summary
premier-league,Everton,Bournemouth,"['13' Goal_Away - King J.(Penalty )', '41' Goal_Home - Kean M.(Walcott T.)', '45+1' Goal_Away - Solanke D.(Rico D.)', '79' Yellow_Home - Keane M.(Podcięcie)', '80' Goal_Away - Stanislas J.(King J.)']",38,26.07.2020,17:00,1.0,3.0,1.0,2.0,Away,2.45,3.7,2.84,2.84,True,True,False,True,False,True,False,False,5.0,3.0,2.0,70%,30%,13.0,13.0,5.0,7.0,131.0,101.0,56.0,60.0,5.0,2.0,3.0,4.0,9.0,11.0,2.0,5.0,0.0,1.0,,,4.0,4.0,11.0,9.0,1.0,0.0,https://www.flashscore.com/match/Qiap3r8Q/#/match-summary/match-summary
league-one,Morecambe,Burton,"['28' Yellow_Home - Connolly D.', '41' Goal_Home - Gnahoua A.(Wildig A.)', '43' Red_Card_Away - Shaughnessy C.', '45+5' Goal_Home - Phillips A.(Stockton C.)', '46' Goal_Home - Stockton C.', '71' Yellow_Away - Oshilaja A.']",41,02.04.2022,16:00,3.0,0.0,2.0,0.0,Home,2.95,3.3,2.33,2.95,True,False,False,False,True,False,False,False,0.0,0.0,0.0,59%,41%,22.0,8.0,8.0,2.0,111.0,75.0,76.0,33.0,7.0,2.0,7.0,4.0,8.0,6.0,11.0,7.0,1.0,1.0,26.0,23.0,2.0,5.0,6.0,10.0,1.0,1.0,https://www.flashscore.com/match/zm2MOD4P/#/match-summary/match-summary
laliga,Alaves,Barcelona,"['32' Yellow_Away - Umtiti S.(Faul)', '36' Yellow_Home - Wakaso M.(Podcięcie)', '38' Yellow_Home - Ely R.(Przytrzymywanie)', '39' Penalty_Missed_Away - Messi L.()', '41' Yellow_Away - Roberto S.(Nadmierna ostrość)', '45' Yellow_Away - Pique G.(Zagranie ręką)', '55' Goal_Away - Messi L.(Alba J.)', '66' Goal_Away - Messi L.(Alcacer P.)']",2,26.08.2017,18:15,0.0,2.0,0.0,0.0,Away,10.0,5.6,1.3,1.3,False,False,False,False,False,False,False,False,3.0,3.0,0.0,27%,73%,11.0,23.0,2.0,11.0,66.0,125.0,29.0,101.0,3.0,5.0,6.0,7.0,9.0,12.0,1.0,14.0,1.0,0.0,7.0,23.0,9.0,2.0,12.0,10.0,2.0,3.0,https://www.flashscore.com/match/YXl7Ge39/#/match-summary/match-summary
laliga2,Las Palmas,R. Oviedo,"['07' Goal_Away - Sanchez B.', '26' Goal_Home - Moleiro A.', '45+3' Yellow_Away - Isaac C.', '62' Goal_Home - Viera J.', '90' Red_Card_Away - Cornud P.']",41,21.05.2022,22:00,2.0,1.0,1.0,1.0,Home,1.97,3.45,3.95,1.97,True,False,False,True,False,False,False,False,0.0,0.0,0.0,67%,33%,11.0,7.0,4.0,4.0,132.0,74.0,53.0,27.0,3.0,3.0,4.0,0.0,19.0,14.0,7.0,3.0,1.0,3.0,22.0,17.0,3.0,2.0,13.0,16.0,0.0,1.0,https://www.flashscore.com/match/0I5zdyyS/#/match-summary/match-summary
premier-league,Manchester City,Liverpool,"['13' Goal_Away - Salah M.(Penalty )', '31' Goal_Home - Gabriel Jesus(De Bruyne K.)', '42' Penalty_Missed_Home - De Bruyne K.()', '46' Yellow_Away - Matip J.(Podcięcie)', '61' Yellow_Home - Sterling R.(Nadmierna ostrość)', '79' Yellow_Home - Laporte A.(Przytrzymywanie)', '90+3' Yellow_Home - Walker K.(Podcięcie)']",8,08.11.2020,17:30,1.0,1.0,1.0,1.0,Draw,1.94,4.15,3.7,4.15,False,False,False,True,False,False,False,False,3.0,4.0,-1.0,55%,45%,7.0,10.0,2.0,3.0,96.0,95.0,45.0,42.0,4.0,4.0,1.0,3.0,16.0,20.0,1.0,2.0,2.0,5.0,,,2.0,1.0,19.0,11.0,3.0,1.0,https://www.flashscore.com/match/ruEqGFid/#/match-summary/match-summary
league-one,Doncaster,Wigan,"['03' Goal_Away - Dodoo J.(Aasgaard T.)', '15' Goal_Away - Aasgaard T.', '33' Goal_Away - Solomon-Otabor V.(Keane W.)', '43' Yellow_Home - Anderson T.', '45+3' Goal_Home - Richards T.(Sims J.)', '57' Yellow_Away - Dodoo J.', '81' Goal_Away - Keane W.(Dodoo J.)', '85' Yellow_Away - Jones J.', '85' Yellow_Home - Wright J.', '90+5' Yellow_Home - Gomes M.']",41,10.04.2021,16:00,1.0,4.0,1.0,3.0,Away,2.02,3.32,3.45,3.45,True,True,False,True,True,False,False,False,0.0,0.0,0.0,56%,44%,8.0,14.0,4.0,6.0,87.0,98.0,37.0,47.0,3.0,5.0,1.0,3.0,14.0,8.0,3.0,12.0,1.0,1.0,13.0,27.0,2.0,3.0,7.0,13.0,3.0,2.0,https://www.flashscore.com/match/lApdmRab/#/match-summary/match-summary
serie-a,Sampdoria,Inter,"['18' Goal_Away - Dimarco F.', '22' Yellow_Away - Brozovic M.(Podcięcie)', '32' Goal_Home - Yoshida M.', '35' Yellow_Home - Thorsby M.(Podcięcie)', '44' Goal_Away - Martinez L.(Barella N.)', '47' Goal_Home - Augello T.(Bereszyński B.)', '67' Yellow_Home - Bereszyński B.(Podcięcie)', '82' Yellow_Home - Colley O.(Podcięcie)', '88' Yellow_Home - Silva Ad.(Nadmierna ostrość)', '89' Yellow_Away - Dzeko E.(Nadmierna ostrość)', '90' Yellow_Away - Correa J.(Podcięcie)', '90+3' Yellow_Away - Vidal A.(Podcięcie)']",3,12.09.2021,12:30,2.0,2.0,1.0,2.0,Draw,5.1,4.0,1.68,4.0,True,True,False,False,True,False,False,False,3.0,3.0,0.0,47%,53%,12.0,8.0,3.0,3.0,107.0,56.0,54.0,29.0,5.0,5.0,4.0,0.0,24.0,17.0,4.0,4.0,2.0,1.0,,,1.0,1.0,12.0,13.0,4.0,4.0,https://www.flashscore.com/match/GMiKLEk8/#/match-summary/match-summary
